heuristica, n, m, replicacao, tempo, iteracoes, valor, parametro
MelhorMelhora, 32, 10, 1.5, 0.02534, 24, 188, NA
MelhorMelhora, 100, 10, 2, 0.01718, 70, 541, NA
MelhorMelhora, 89, 20, 1.5, 0.03041, 70, 241, NA
MelhorMelhora, 400, 20, 2, 0.10902, 316, 1016, NA
MelhorMelhora, 354, 50, 1.5, 0.17915, 305, 376, NA
MelhorMelhora, 2500, 50, 2, 0.29808, 2159, 2470, NA
BLMRandomizada, 32, 10, 1.5, 0.00041, 29, 204, 0.1
BLMRandomizada, 32, 10, 1.5, 0.00027, 31, 211, 0.2
BLMRandomizada, 32, 10, 1.5, 0.00023, 28, 181, 0.3
BLMRandomizada, 32, 10, 1.5, 0.00024, 27, 244, 0.4
BLMRandomizada, 32, 10, 1.5, 0.0004, 29, 251, 0.5
BLMRandomizada, 32, 10, 1.5, 0.0002, 22, 311, 0.6
BLMRandomizada, 32, 10, 1.5, 0.00023, 27, 231, 0.7
BLMRandomizada, 32, 10, 1.5, 0.00025, 29, 225, 0.8
BLMRandomizada, 32, 10, 1.5, 0.00077, 29, 253, 0.9
BLMRandomizada, 100, 10, 2, 0.00114, 89, 589, 0.1
BLMRandomizada, 100, 10, 2, 0.00087, 88, 506, 0.2
BLMRandomizada, 100, 10, 2, 0.00087, 89, 518, 0.3
BLMRandomizada, 100, 10, 2, 0.00099, 90, 579, 0.4
BLMRandomizada, 100, 10, 2, 0.00318, 92, 551, 0.5
BLMRandomizada, 100, 10, 2, 0.00095, 91, 618, 0.6
BLMRandomizada, 100, 10, 2, 0.00098, 96, 551, 0.7
BLMRandomizada, 100, 10, 2, 0.00084, 91, 651, 0.8
BLMRandomizada, 100, 10, 2, 0.00168, 94, 608, 0.9
BLMRandomizada, 89, 20, 1.5, 0.0013, 86, 276, 0.1
BLMRandomizada, 89, 20, 1.5, 0.00115, 84, 250, 0.2
BLMRandomizada, 89, 20, 1.5, 0.00169, 90, 273, 0.3
BLMRandomizada, 89, 20, 1.5, 0.00114, 83, 440, 0.4
BLMRandomizada, 89, 20, 1.5, 0.0012, 93, 253, 0.5
BLMRandomizada, 89, 20, 1.5, 0.00327, 91, 282, 0.6
BLMRandomizada, 89, 20, 1.5, 0.00107, 84, 348, 0.7
BLMRandomizada, 89, 20, 1.5, 0.00173, 84, 333, 0.8
BLMRandomizada, 89, 20, 1.5, 0.00106, 84, 323, 0.9
BLMRandomizada, 400, 20, 2, 0.00828, 378, 1042, 0.1
BLMRandomizada, 400, 20, 2, 0.0104, 379, 1089, 0.2
BLMRandomizada, 400, 20, 2, 0.00767, 384, 1009, 0.3
BLMRandomizada, 400, 20, 2, 0.00777, 386, 1032, 0.4
BLMRandomizada, 400, 20, 2, 0.00761, 383, 1069, 0.5
BLMRandomizada, 400, 20, 2, 0.00752, 387, 1073, 0.6
BLMRandomizada, 400, 20, 2, 0.00958, 383, 1163, 0.7
BLMRandomizada, 400, 20, 2, 0.00739, 381, 1140, 0.8
BLMRandomizada, 400, 20, 2, 0.00672, 380, 1195, 0.9
BLMRandomizada, 354, 50, 1.5, 0.01258, 347, 418, 0.1
BLMRandomizada, 354, 50, 1.5, 0.0152, 348, 406, 0.2
BLMRandomizada, 354, 50, 1.5, 0.01272, 348, 425, 0.3
BLMRandomizada, 354, 50, 1.5, 0.01495, 346, 437, 0.4
BLMRandomizada, 354, 50, 1.5, 0.01263, 349, 473, 0.5
BLMRandomizada, 354, 50, 1.5, 0.01287, 355, 424, 0.6
BLMRandomizada, 354, 50, 1.5, 0.01515, 362, 465, 0.7
BLMRandomizada, 354, 50, 1.5, 0.01327, 342, 569, 0.8
BLMRandomizada, 354, 50, 1.5, 0.01343, 356, 551, 0.9
BLMRandomizada, 2500, 50, 2, 0.2834, 2445, 2570, 0.1
BLMRandomizada, 2500, 50, 2, 0.27752, 2457, 2581, 0.2
BLMRandomizada, 2500, 50, 2, 0.2713, 2453, 2623, 0.3
BLMRandomizada, 2500, 50, 2, 0.26305, 2455, 2551, 0.4
BLMRandomizada, 2500, 50, 2, 0.25556, 2458, 2577, 0.5
BLMRandomizada, 2500, 50, 2, 0.24922, 2453, 2614, 0.6
BLMRandomizada, 2500, 50, 2, 0.24313, 2452, 2781, 0.7
BLMRandomizada, 2500, 50, 2, 0.23456, 2463, 2764, 0.8
BLMRandomizada, 2500, 50, 2, 0.23224, 2461, 2827, 0.9
